"species","transect","frequency","comment"
"Chorizandra cymbaria","T29",0,""
"Chorizandra cymbaria","T28",0,""
"Chorizandra cymbaria","T15",0,""
"Chorizandra cymbaria","T44",0,""
"Chorizandra cymbaria","T43",0,""
"Chorizandra cymbaria","T6",0,""
"Chorizandra cymbaria","T17",0,""
"Chorizandra cymbaria","T8",0,""
"Chorizandra cymbaria","T9",0,""
"Chorizandra cymbaria","T40",0,""
"Chorizandra cymbaria","T33",0,""
"Chorizandra cymbaria","T45",0,""
"Chorizandra cymbaria","T1",1,""
"Chorizandra cymbaria","T26",0,""
"Chorizandra cymbaria","T25",0,""
"Chorizandra cymbaria","T24",0,""
"Chorizandra cymbaria","T7",0,""
"Chorizandra cymbaria","T50",0,""
"Chorizandra cymbaria","T59",0,""
"Chorizandra cymbaria","T37",0,""
"Chorizandra cymbaria","T53",0,""
"Chorizandra cymbaria","T21",0,""
"Chorizandra cymbaria","T57",0,""
"Chorizandra cymbaria","T49",6,""
"Chorizandra cymbaria","T5",0,""
"Chorizandra cymbaria","T60",0,""
"Chorizandra cymbaria","T48",0,""
"Chorizandra cymbaria","T14",0,""
"Chorizandra cymbaria","T35",0,""
"Chorizandra cymbaria","T20",0,""
"Chorizandra cymbaria","T19",0,""
"Chorizandra cymbaria","T13",0,""
"Chorizandra cymbaria","T36",0,""
"Chorizandra cymbaria","T41",0,""
"Chorizandra cymbaria","T4",0,""
"Chorizandra cymbaria","T34",0,""
"Chorizandra cymbaria","T39",0,""
"Chorizandra sphaerocephala","T30",25,""
"Chorizandra sphaerocephala","T12",0,""
"Chorizandra sphaerocephala","T16",16,""
"Chorizandra sphaerocephala","T2",0,""
"Chorizandra sphaerocephala","T32",4,""
"Chorizandra sphaerocephala","T47",0,""
"Chorizandra sphaerocephala","T23",4,""
"Chorizandra sphaerocephala","T42",11,""
"Chorizandra sphaerocephala","T31",0,""
"Chorizandra sphaerocephala","T38",13,""
"Chorizandra sphaerocephala","T17",0,""
"Chorizandra sphaerocephala","T46",30,""
"Chorizandra sphaerocephala","T3",2,""
"Chorizandra sphaerocephala","T40",29,""
"Chorizandra sphaerocephala","T18",0,""
"Chorizandra sphaerocephala","T15",29,""
"Chorizandra sphaerocephala","T59",29,""
"Chorizandra sphaerocephala","T27",12,""
"Chorizandra sphaerocephala","T28",3,""
"Chorizandra sphaerocephala","T44",0,""
"Chorizandra sphaerocephala","T10",18,""
"Chorizandra sphaerocephala","T29",0,""
"Chorizandra sphaerocephala","T6",0,""
"Chorizandra sphaerocephala","T45",20,""
"Chorizandra sphaerocephala","T21",28,""
"Chorizandra sphaerocephala","T13",19,""
"Chorizandra sphaerocephala","T57",28,""
"Chorizandra sphaerocephala","T11",17,""
"Chorizandra sphaerocephala","T43",20,""
"Chorizandra sphaerocephala","T19",13,""
"Chorizandra sphaerocephala","T26",21,""
"Chorizandra sphaerocephala","T22",0,""
"Chorizandra sphaerocephala","T7",0,""
"Chorizandra sphaerocephala","T1",25,""
"Chorizandra sphaerocephala","T8",0,""
"Chorizandra sphaerocephala","T33",15,""
"Chorizandra sphaerocephala","T5",17,""
"Chorizandra sphaerocephala","T25",28,""
"Chorizandra sphaerocephala","T41",0,""
"Chorizandra sphaerocephala","T50",0,""
"Chorizandra sphaerocephala","T14",0,""
"Chorizandra sphaerocephala","T24",11,""
"Chorizandra sphaerocephala","T37",0,""
"Chorizandra sphaerocephala","T9",0,""
"Chorizandra sphaerocephala","T36",2,""
"Chorizandra sphaerocephala","T35",28,""
"Chorizandra sphaerocephala","T60",2,""
"Chorizandra sphaerocephala","T39",0,""
"Chorizandra sphaerocephala","T53",0,""
"Chorizandra sphaerocephala","T48",0,""
"Chorizandra sphaerocephala","T4",0,""
"Chorizandra sphaerocephala","T20",3,""
"Chorizandra sphaerocephala","T34",27,""
"Chorizandra sphaerocephala","T49",19,""
"Comesperma defoliatum","T59",0,""
"Comesperma defoliatum","T12",0,""
"Comesperma defoliatum","T2",0,""
"Comesperma defoliatum","T42",0,""
"Comesperma defoliatum","T32",0,""
"Comesperma defoliatum","T17",0,""
"Comesperma defoliatum","T8",0,""
"Comesperma defoliatum","T44",0,""
"Comesperma defoliatum","T23",0,""
"Comesperma defoliatum","T31",0,""
"Comesperma defoliatum","T45",0,""
"Comesperma defoliatum","T30",0,""
"Comesperma defoliatum","T26",0,""
"Comesperma defoliatum","T47",0,""
"Comesperma defoliatum","T11",0,""
"Comesperma defoliatum","T16",0,""
"Comesperma defoliatum","T43",0,""
"Comesperma defoliatum","T46",0,""
"Comesperma defoliatum","T22",0,""
"Comesperma defoliatum","T7",0,""
"Comesperma defoliatum","T10",0,""
"Comesperma defoliatum","T48",0,""
"Comesperma defoliatum","T33",1,""
"Comesperma defoliatum","T24",0,""
"Comesperma defoliatum","T18",0,""
"Comesperma defoliatum","T1",0,""
"Comesperma defoliatum","T3",0,""
"Comesperma defoliatum","T38",0,""
"Comesperma defoliatum","T28",0,""
"Comesperma defoliatum","T21",0,""
"Comesperma defoliatum","T15",0,""
"Comesperma defoliatum","T40",0,""
"Comesperma defoliatum","T53",0,""
"Comesperma defoliatum","T25",0,""
"Comesperma defoliatum","T9",0,""
"Comesperma defoliatum","T29",0,""
"Comesperma defoliatum","T6",0,""
"Comesperma defoliatum","T60",0,""
"Comesperma defoliatum","T41",0,""
"Comesperma defoliatum","T13",0,""
"Comesperma defoliatum","T57",0,""
"Comesperma defoliatum","T14",0,""
"Comesperma defoliatum","T37",0,""
"Comesperma defoliatum","T36",0,""
"Comesperma defoliatum","T27",0,""
"Comesperma defoliatum","T35",0,""
"Comesperma defoliatum","T49",0,""
"Comesperma defoliatum","T39",0,""
"Comesperma defoliatum","T4",0,""
"Comesperma defoliatum","T5",0,""
"Comesperma defoliatum","T50",0,""
"Comesperma defoliatum","T19",1,""
"Comesperma defoliatum","T34",0,""
"Comesperma defoliatum","T20",0,""
"Comesperma retusum","T32",0,""
"Comesperma retusum","T31",0,""
"Comesperma retusum","T46",0,""
"Comesperma retusum","T47",0,""
"Comesperma retusum","T42",0,""
"Comesperma retusum","T12",0,""
"Comesperma retusum","T59",0,""
"Comesperma retusum","T18",0,""
"Comesperma retusum","T21",0,""
"Comesperma retusum","T44",0,""
"Comesperma retusum","T22",1,""
"Comesperma retusum","T16",0,""
"Comesperma retusum","T43",0,""
"Comesperma retusum","T29",0,""
"Comesperma retusum","T17",0,""
"Comesperma retusum","T7",0,""
"Comesperma retusum","T45",0,""
"Comesperma retusum","T2",0,""
"Comesperma retusum","T23",0,""
"Comesperma retusum","T27",0,""
"Comesperma retusum","T41",0,""
"Comesperma retusum","T48",0,""
"Comesperma retusum","T3",0,""
"Comesperma retusum","T6",0,""
"Comesperma retusum","T11",0,""
"Comesperma retusum","T8",0,""
"Comesperma retusum","T26",0,""
"Comesperma retusum","T40",0,""
"Comesperma retusum","T25",0,""
"Comesperma retusum","T28",0,""
"Comesperma retusum","T30",0,""
"Comesperma retusum","T15",0,""
"Comesperma retusum","T53",0,""
"Comesperma retusum","T24",0,""
"Comesperma retusum","T36",0,""
"Comesperma retusum","T9",0,""
"Comesperma retusum","T33",0,""
"Comesperma retusum","T38",0,""
"Comesperma retusum","T1",0,""
"Comesperma retusum","T13",0,""
"Comesperma retusum","T57",0,""
"Comesperma retusum","T37",0,""
"Comesperma retusum","T20",0,""
"Comesperma retusum","T10",0,""
"Comesperma retusum","T39",0,""
"Comesperma retusum","T60",0,""
"Comesperma retusum","T34",0,""
"Comesperma retusum","T19",0,""
"Comesperma retusum","T14",0,""
"Comesperma retusum","T5",0,""
"Comesperma retusum","T35",0,""
"Comesperma retusum","T50",0,""
"Comesperma retusum","T49",0,""
"Comesperma retusum","T4",0,""
"Conospermum ellipticum","T42",0,""
"Conospermum ellipticum","T44",0,""
"Conospermum ellipticum","T38",0,""
"Conospermum ellipticum","T31",0,""
"Conospermum ellipticum","T30",0,""
"Conospermum ellipticum","T47",0,""
"Conospermum ellipticum","T32",0,""
"Conospermum ellipticum","T41",0,""
"Conospermum ellipticum","T23",0,""
"Conospermum ellipticum","T27",0,""
"Conospermum ellipticum","T46",0,""
"Conospermum ellipticum","T18",0,""
"Conospermum ellipticum","T8",0,""
"Conospermum ellipticum","T14",0,""
"Conospermum ellipticum","T22",0,""
"Conospermum ellipticum","T7",0,""
"Conospermum ellipticum","T17",4,""
"Conospermum ellipticum","T12",0,""
"Conospermum ellipticum","T2",0,""
"Conospermum ellipticum","T53",0,""
"Conospermum ellipticum","T24",0,""
"Conospermum ellipticum","T29",0,""
"Conospermum ellipticum","T26",0,""
"Conospermum ellipticum","T59",0,""
"Conospermum ellipticum","T11",0,""
"Conospermum ellipticum","T16",0,""
"Conospermum ellipticum","T43",0,""
"Conospermum ellipticum","T40",0,""
"Conospermum ellipticum","T37",0,""
"Conospermum ellipticum","T28",0,""
"Conospermum ellipticum","T15",0,""
"Conospermum ellipticum","T10",0,""
"Conospermum ellipticum","T49",0,""
"Conospermum ellipticum","T60",0,""
"Conospermum ellipticum","T21",0,""
"Conospermum ellipticum","T48",5,""
"Conospermum ellipticum","T4",0,""
"Conospermum ellipticum","T6",0,""
"Conospermum ellipticum","T25",0,""
"Conospermum ellipticum","T1",0,""
"Conospermum ellipticum","T57",0,""
"Conospermum ellipticum","T3",0,""
"Conospermum ellipticum","T33",0,""
"Conospermum ellipticum","T45",0,""
"Conospermum ellipticum","T9",0,""
"Conospermum ellipticum","T13",0,""
"Conospermum ellipticum","T5",0,""
"Conospermum ellipticum","T39",0,""
"Conospermum ellipticum","T34",0,""
"Conospermum ellipticum","T36",0,""
"Conospermum ellipticum","T50",0,""
"Conospermum ellipticum","T20",1,""
"Conospermum ellipticum","T19",0,""
"Conospermum ellipticum","T35",0,""
"Corybas fordhamii","T30",0,""
"Corybas fordhamii","T2",0,""
"Corybas fordhamii","T31",0,""
"Corybas fordhamii","T44",3,""
"Corybas fordhamii","T23",0,""
"Corybas fordhamii","T46",0,""
"Corybas fordhamii","T47",0,""
"Corybas fordhamii","T32",0,""
"Corybas fordhamii","T27",0,""
"Corybas fordhamii","T12",0,""
"Corybas fordhamii","T33",1,""
"Corybas fordhamii","T18",0,""
"Corybas fordhamii","T42",0,""
"Corybas fordhamii","T59",0,""
"Corybas fordhamii","T22",0,""
"Corybas fordhamii","T37",0,""
"Corybas fordhamii","T9",0,""
"Corybas fordhamii","T15",0,""
"Corybas fordhamii","T29",0,""
"Corybas fordhamii","T53",0,""
"Corybas fordhamii","T45",0,""
"Corybas fordhamii","T21",0,""
"Corybas fordhamii","T8",0,""
"Corybas fordhamii","T14",0,""
"Corybas fordhamii","T38",0,""
"Corybas fordhamii","T16",0,""
"Corybas fordhamii","T17",0,""
"Corybas fordhamii","T57",0,""
"Corybas fordhamii","T3",0,""
"Corybas fordhamii","T7",1,""
"Corybas fordhamii","T41",0,""
"Corybas fordhamii","T4",0,""
"Corybas fordhamii","T26",0,""
"Corybas fordhamii","T60",0,""
"Corybas fordhamii","T11",0,""
"Corybas fordhamii","T1",0,""
"Corybas fordhamii","T43",0,""
"Corybas fordhamii","T6",0,""
"Corybas fordhamii","T28",0,""
"Corybas fordhamii","T10",0,""
"Corybas fordhamii","T36",0,""
"Corybas fordhamii","T40",0,""
"Corybas fordhamii","T49",0,""
"Corybas fordhamii","T24",0,""
"Corybas fordhamii","T25",0,""
"Corybas fordhamii","T48",0,""
"Corybas fordhamii","T13",0,""
"Corybas fordhamii","T5",0,""
"Corybas fordhamii","T34",0,""
"Corybas fordhamii","T50",0,""
"Corybas fordhamii","T39",0,""
"Corybas fordhamii","T35",0,""
"Corybas fordhamii","T20",0,""
"Corybas fordhamii","T19",0,""
"Corymbia gummifera","T42",0,""
"Corymbia gummifera","T30",0,""
"Corymbia gummifera","T2",0,""
"Corymbia gummifera","T12",0,""
"Corymbia gummifera","T29",0,""
"Corymbia gummifera","T23",0,""
"Corymbia gummifera","T45",0,""
"Corymbia gummifera","T47",0,""
"Corymbia gummifera","T15",0,""
"Corymbia gummifera","T17",0,""
"Corymbia gummifera","T31",0,""
"Corymbia gummifera","T38",0,""
"Corymbia gummifera","T44",0,""
"Corymbia gummifera","T48",1,""
"Corymbia gummifera","T59",0,""
"Corymbia gummifera","T22",0,""
"Corymbia gummifera","T16",0,""
"Corymbia gummifera","T32",0,""
"Corymbia gummifera","T9",0,""
"Corymbia gummifera","T27",0,""
"Corymbia gummifera","T28",0,""
"Corymbia gummifera","T19",0,""
"Corymbia gummifera","T1",0,""
"Corymbia gummifera","T14",0,""
"Corymbia gummifera","T46",0,""
"Corymbia gummifera","T18",0,""
"Corymbia gummifera","T10",0,""
"Corymbia gummifera","T57",0,""
"Corymbia gummifera","T3",0,""
"Corymbia gummifera","T25",0,""
"Corymbia gummifera","T41",0,""
"Corymbia gummifera","T21",0,""
"Corymbia gummifera","T26",0,""
"Corymbia gummifera","T53",0,""
"Corymbia gummifera","T11",0,""
"Corymbia gummifera","T7",0,""
"Corymbia gummifera","T43",0,""
"Corymbia gummifera","T33",0,""
"Corymbia gummifera","T37",0,""
"Corymbia gummifera","T24",0,""
"Corymbia gummifera","T39",0,""
"Corymbia gummifera","T13",0,""
"Corymbia gummifera","T49",0,""
"Corymbia gummifera","T6",0,""
"Corymbia gummifera","T5",0,""
"Corymbia gummifera","T4",0,""
"Corymbia gummifera","T50",0,""
"Corymbia gummifera","T40",0,""
"Corymbia gummifera","T60",0,""
"Corymbia gummifera","T8",0,""
"Corymbia gummifera","T36",0,""
"Corymbia gummifera","T35",0,""
"Corymbia gummifera","T34",0,""
"Corymbia gummifera","T20",0,""
"Cryptandra ericoides","T30",0,""
"Cryptandra ericoides","T42",0,""
"Cryptandra ericoides","T31",0,""
"Cryptandra ericoides","T12",0,""
"Cryptandra ericoides","T44",0,""
"Cryptandra ericoides","T2",0,""
"Cryptandra ericoides","T32",0,""
"Cryptandra ericoides","T15",0,""
"Cryptandra ericoides","T17",0,""
"Cryptandra ericoides","T9",11,""
"Cryptandra ericoides","T23",0,""
"Cryptandra ericoides","T45",0,""
"Cryptandra ericoides","T16",0,""
"Cryptandra ericoides","T1",0,""
"Cryptandra ericoides","T59",0,""
"Cryptandra ericoides","T46",0,""
"Cryptandra ericoides","T25",0,""
"Cryptandra ericoides","T10",0,""
"Cryptandra ericoides","T47",3,""
"Cryptandra ericoides","T7",0,""
"Cryptandra ericoides","T27",0,""
"Cryptandra ericoides","T24",0,""
"Cryptandra ericoides","T21",0,""
"Cryptandra ericoides","T29",0,""
"Cryptandra ericoides","T33",0,""
"Cryptandra ericoides","T11",0,""
"Cryptandra ericoides","T18",4,""
"Cryptandra ericoides","T43",0,""
"Cryptandra ericoides","T3",1,""
"Cryptandra ericoides","T57",0,""
"Cryptandra ericoides","T22",0,""
"Cryptandra ericoides","T19",0,""
"Cryptandra ericoides","T48",0,""
"Cryptandra ericoides","T60",0,""
"Cryptandra ericoides","T49",0,""
"Cryptandra ericoides","T28",0,""
"Cryptandra ericoides","T8",1,""
"Cryptandra ericoides","T14",0,""
"Cryptandra ericoides","T38",3,""
"Cryptandra ericoides","T6",0,""
"Cryptandra ericoides","T41",0,""
"Cryptandra ericoides","T50",0,""
"Cryptandra ericoides","T40",0,""
"Cryptandra ericoides","T35",0,""
"Cryptandra ericoides","T37",0,""
"Cryptandra ericoides","T4",0,""
"Cryptandra ericoides","T53",6,""
"Cryptandra ericoides","T39",1,""
"Cryptandra ericoides","T26",0,""
"Cryptandra ericoides","T5",0,""
"Cryptandra ericoides","T13",0,""
"Cryptandra ericoides","T36",0,""
"Cryptandra ericoides","T34",0,""
"Cryptandra ericoides","T20",0,""
"Cryptostylis subulata","T22",0,""
"Cryptostylis subulata","T42",0,""
"Cryptostylis subulata","T31",0,""
"Cryptostylis subulata","T45",0,""
"Cryptostylis subulata","T27",0,""
"Cryptostylis subulata","T46",0,""
"Cryptostylis subulata","T30",0,""
"Cryptostylis subulata","T12",0,""
"Cryptostylis subulata","T2",0,""
"Cryptostylis subulata","T16",0,""
"Cryptostylis subulata","T44",0,""
"Cryptostylis subulata","T29",0,""
"Cryptostylis subulata","T57",0,""
"Cryptostylis subulata","T1",0,""
"Cryptostylis subulata","T43",0,""
"Cryptostylis subulata","T48",0,""
"Cryptostylis subulata","T47",0,""
"Cryptostylis subulata","T10",0,""
"Cryptostylis subulata","T15",0,""
"Cryptostylis subulata","T17",0,""
"Cryptostylis subulata","T11",0,""
"Cryptostylis subulata","T60",0,""
"Cryptostylis subulata","T24",0,""
"Cryptostylis subulata","T9",0,""
"Cryptostylis subulata","T50",0,""
"Cryptostylis subulata","T59",0,""
"Cryptostylis subulata","T18",0,""
"Cryptostylis subulata","T8",0,""
"Cryptostylis subulata","T14",0,""
"Cryptostylis subulata","T3",0,""
"Cryptostylis subulata","T37",0,""
"Cryptostylis subulata","T32",0,""
"Cryptostylis subulata","T41",0,""
"Cryptostylis subulata","T21",0,""
"Cryptostylis subulata","T49",0,""
"Cryptostylis subulata","T53",0,""
"Cryptostylis subulata","T38",0,""
"Cryptostylis subulata","T35",0,""
"Cryptostylis subulata","T6",0,""
"Cryptostylis subulata","T23",0,""
"Cryptostylis subulata","T7",0,""
"Cryptostylis subulata","T19",0,""
"Cryptostylis subulata","T40",0,""
"Cryptostylis subulata","T28",0,""
"Cryptostylis subulata","T34",0,""
"Cryptostylis subulata","T5",0,""
"Cryptostylis subulata","T4",0,""
"Cryptostylis subulata","T33",0,""
"Cryptostylis subulata","T25",0,""
"Cryptostylis subulata","T13",0,""
"Cryptostylis subulata","T20",0,""
"Cryptostylis subulata","T26",0,""
"Cryptostylis subulata","T39",4,""
"Cryptostylis subulata","T36",0,""
"Cyathochaeta diandra","T57",0,""
"Cyathochaeta diandra","T37",0,""
"Cyathochaeta diandra","T30",0,""
"Cyathochaeta diandra","T16",0,""
"Cyathochaeta diandra","T47",0,""
"Cyathochaeta diandra","T2",1,""
"Cyathochaeta diandra","T31",0,""
"Cyathochaeta diandra","T35",0,""
"Cyathochaeta diandra","T45",0,""
"Cyathochaeta diandra","T15",0,""
"Cyathochaeta diandra","T50",0,""
"Cyathochaeta diandra","T22",0,""
"Cyathochaeta diandra","T21",0,""
"Cyathochaeta diandra","T1",0,""
"Cyathochaeta diandra","T59",0,""
"Cyathochaeta diandra","T41",0,""
"Cyathochaeta diandra","T3",1,""
"Cyathochaeta diandra","T28",0,""
"Cyathochaeta diandra","T7",0,""
"Cyathochaeta diandra","T32",0,""
"Cyathochaeta diandra","T42",0,""
"Cyathochaeta diandra","T27",1,""
"Cyathochaeta diandra","T60",0,""
"Cyathochaeta diandra","T9",21,""
"Cyathochaeta diandra","T44",0,""
"Cyathochaeta diandra","T33",0,""
"Cyathochaeta diandra","T48",0,""
"Cyathochaeta diandra","T23",0,""
"Cyathochaeta diandra","T43",9,""
"Cyathochaeta diandra","T20",6,""
"Cyathochaeta diandra","T40",0,""
"Cyathochaeta diandra","T10",0,""
"Cyathochaeta diandra","T17",0,""
"Cyathochaeta diandra","T53",2,""
"Cyathochaeta diandra","T12",0,""
"Cyathochaeta diandra","T34",0,""
"Cyathochaeta diandra","T49",0,""
"Cyathochaeta diandra","T8",0,""
"Cyathochaeta diandra","T26",0,""
"Cyathochaeta diandra","T46",0,""
"Cyathochaeta diandra","T11",0,""
"Cyathochaeta diandra","T24",0,""
"Cyathochaeta diandra","T13",0,""
"Cyathochaeta diandra","T5",0,""
"Cyathochaeta diandra","T25",0,""
"Cyathochaeta diandra","T6",19,""
"Cyathochaeta diandra","T19",0,""
"Cyathochaeta diandra","T29",0,""
"Cyathochaeta diandra","T38",0,""
"Cyathochaeta diandra","T4",0,""
"Cyathochaeta diandra","T18",4,""
"Cyathochaeta diandra","T39",0,""
"Cyathochaeta diandra","T36",0,""
"Cyathochaeta diandra","T14",22,""
"Dampiera stricta","T7",10,""
"Dampiera stricta","T57",0,""
"Dampiera stricta","T37",0,""
"Dampiera stricta","T40",0,""
"Dampiera stricta","T45",6,""
"Dampiera stricta","T46",0,""
"Dampiera stricta","T23",0,""
"Dampiera stricta","T21",0,""
"Dampiera stricta","T59",0,""
"Dampiera stricta","T25",0,""
"Dampiera stricta","T35",0,""
"Dampiera stricta","T48",2,""
"Dampiera stricta","T27",6,""
"Dampiera stricta","T26",0,""
"Dampiera stricta","T60",0,""
"Dampiera stricta","T32",7,""
"Dampiera stricta","T41",4,""
"Dampiera stricta","T20",14,""
"Dampiera stricta","T28",3,""
"Dampiera stricta","T31",1,""
"Dampiera stricta","T8",7,""
"Dampiera stricta","T42",0,""
"Dampiera stricta","T22",1,""
"Dampiera stricta","T17",3,""
"Dampiera stricta","T12",0,""
"Dampiera stricta","T24",0,""
"Dampiera stricta","T49",1,""
"Dampiera stricta","T11",7,""
"Dampiera stricta","T33",0,""
"Dampiera stricta","T18",0,""
"Dampiera stricta","T43",0,""
"Dampiera stricta","T5",0,""
"Dampiera stricta","T30",1,""
"Dampiera stricta","T15",0,""
"Dampiera stricta","T4",12,""
"Dampiera stricta","T50",0,""
"Dampiera stricta","T34",0,""
"Dampiera stricta","T9",21,""
"Dampiera stricta","T1",1,""
"Dampiera stricta","T36",4,""
"Dampiera stricta","T38",15,""
"Dampiera stricta","T16",0,""
"Dampiera stricta","T39",26,""
"Dampiera stricta","T13",0,""
"Dampiera stricta","T3",1,""
"Dampiera stricta","T10",0,""
"Dampiera stricta","T14",6,""
"Dampiera stricta","T19",2,""
"Dampiera stricta","T2",5,""
"Dampiera stricta","T47",5,""
"Dampiera stricta","T29",0,""
"Dampiera stricta","T44",5,""
"Dampiera stricta","T6",7,""
"Dampiera stricta","T53",15,""
"Darwinia fascicularis","T59",0,""
"Darwinia fascicularis","T20",0,""
"Darwinia fascicularis","T53",0,""
"Darwinia fascicularis","T41",1,""
"Darwinia fascicularis","T25",0,""
"Darwinia fascicularis","T48",17,""
"Darwinia fascicularis","T10",0,""
"Darwinia fascicularis","T38",0,""
"Darwinia fascicularis","T36",0,""
"Darwinia fascicularis","T7",0,""
"Darwinia fascicularis","T37",0,""
"Darwinia fascicularis","T12",0,""
"Darwinia fascicularis","T33",0,""
"Darwinia fascicularis","T39",0,""
"Darwinia fascicularis","T26",0,""
"Darwinia fascicularis","T60",0,""
"Darwinia fascicularis","T40",0,""
"Darwinia fascicularis","T18",0,""
"Darwinia fascicularis","T8",0,""
"Darwinia fascicularis","T23",0,""
"Darwinia fascicularis","T21",0,""
"Darwinia fascicularis","T2",0,""
"Darwinia fascicularis","T35",0,""
"Darwinia fascicularis","T50",0,""
"Darwinia fascicularis","T45",0,""
"Darwinia fascicularis","T19",0,""
"Darwinia fascicularis","T57",0,""
"Darwinia fascicularis","T49",0,""
"Darwinia fascicularis","T11",0,""
"Darwinia fascicularis","T46",0,""
"Darwinia fascicularis","T31",0,""
"Darwinia fascicularis","T3",0,""
"Darwinia fascicularis","T5",0,""
"Darwinia fascicularis","T15",0,""
"Darwinia fascicularis","T30",0,""
"Darwinia fascicularis","T17",0,""
"Darwinia fascicularis","T32",0,""
"Darwinia fascicularis","T47",14,""
"Darwinia fascicularis","T22",0,""
"Darwinia fascicularis","T44",0,""
"Darwinia fascicularis","T6",0,""
"Darwinia fascicularis","T34",0,""
"Darwinia fascicularis","T24",0,""
"Darwinia fascicularis","T13",0,""
"Darwinia fascicularis","T14",0,""
"Darwinia fascicularis","T28",0,""
"Darwinia fascicularis","T43",0,""
"Darwinia fascicularis","T4",0,""
"Darwinia fascicularis","T27",5,""
"Darwinia fascicularis","T42",0,""
"Darwinia fascicularis","T16",0,""
"Darwinia fascicularis","T9",0,""
"Darwinia fascicularis","T1",0,""
"Darwinia fascicularis","T29",0,""
"Darwinia grandiflora","T21",0,""
"Darwinia grandiflora","T30",0,""
"Darwinia grandiflora","T28",0,""
"Darwinia grandiflora","T1",0,""
"Darwinia grandiflora","T4",0,""
"Darwinia grandiflora","T8",0,""
"Darwinia grandiflora","T36",0,""
"Darwinia grandiflora","T11",0,""
"Darwinia grandiflora","T16",0,""
"Darwinia grandiflora","T40",0,""
"Darwinia grandiflora","T15",0,""
"Darwinia grandiflora","T10",0,""
"Darwinia grandiflora","T45",0,""
"Darwinia grandiflora","T2",0,""
"Darwinia grandiflora","T12",0,""
"Darwinia grandiflora","T49",0,""
"Darwinia grandiflora","T31",0,""
"Darwinia grandiflora","T46",0,""
"Darwinia grandiflora","T41",0,""
"Darwinia grandiflora","T43",0,""
"Darwinia grandiflora","T33",0,""
"Darwinia grandiflora","T48",0,""
"Darwinia grandiflora","T3",0,""
"Darwinia grandiflora","T42",0,""
"Darwinia grandiflora","T32",0,""
"Darwinia grandiflora","T27",0,""
"Darwinia grandiflora","T29",0,""
"Darwinia grandiflora","T44",24,""
"Darwinia grandiflora","T9",0,""
"Darwinia grandiflora","T14",0,""
"Darwinia grandiflora","T60",0,""
"Darwinia grandiflora","T24",0,""
"Darwinia grandiflora","T19",0,""
"Darwinia grandiflora","T39",0,""
"Darwinia grandiflora","T35",0,""
"Darwinia grandiflora","T53",0,""
"Darwinia grandiflora","T6",0,""
"Darwinia grandiflora","T26",0,""
"Darwinia grandiflora","T17",0,""
"Darwinia grandiflora","T50",0,""
"Darwinia grandiflora","T5",0,""
"Darwinia grandiflora","T20",4,""
"Darwinia grandiflora","T23",0,""
"Darwinia grandiflora","T57",0,""
"Darwinia grandiflora","T7",1,""
"Darwinia grandiflora","T59",0,""
"Darwinia grandiflora","T22",0,""
"Darwinia grandiflora","T13",0,""
"Darwinia grandiflora","T18",0,""
"Darwinia grandiflora","T47",0,""
"Darwinia grandiflora","T38",0,""
"Darwinia grandiflora","T25",0,""
"Darwinia grandiflora","T34",0,""
"Darwinia grandiflora","T37",0,""
"Deyeuxia decipiens","T39",0,""
"Deyeuxia decipiens","T1",0,""
"Deyeuxia decipiens","T35",0,""
"Deyeuxia decipiens","T7",0,""
"Deyeuxia decipiens","T24",0,""
"Deyeuxia decipiens","T29",0,""
"Deyeuxia decipiens","T37",0,""
"Deyeuxia decipiens","T57",0,""
"Deyeuxia decipiens","T22",0,""
"Deyeuxia decipiens","T60",2,""
"Deyeuxia decipiens","T26",0,""
"Deyeuxia decipiens","T36",0,""
"Deyeuxia decipiens","T14",8,""
"Deyeuxia decipiens","T38",0,""
"Deyeuxia decipiens","T25",0,""
"Deyeuxia decipiens","T59",0,""
"Deyeuxia decipiens","T49",0,""
"Deyeuxia decipiens","T40",0,""
"Deyeuxia decipiens","T27",0,""
"Deyeuxia decipiens","T19",0,""
"Deyeuxia decipiens","T9",0,""
"Deyeuxia decipiens","T34",0,""
"Deyeuxia decipiens","T16",0,""
"Deyeuxia decipiens","T6",0,""
"Deyeuxia decipiens","T11",0,""
"Deyeuxia decipiens","T21",0,""
"Deyeuxia decipiens","T15",0,""
"Deyeuxia decipiens","T48",0,""
"Deyeuxia decipiens","T5",0,""
"Deyeuxia decipiens","T50",0,""
"Deyeuxia decipiens","T12",0,""
"Deyeuxia decipiens","T45",0,""
"Deyeuxia decipiens","T47",0,""
"Deyeuxia decipiens","T32",0,""
"Deyeuxia decipiens","T4",0,""
"Deyeuxia decipiens","T44",0,""
"Deyeuxia decipiens","T28",0,""
"Deyeuxia decipiens","T33",0,""
"Deyeuxia decipiens","T13",0,""
"Deyeuxia decipiens","T53",0,""
"Deyeuxia decipiens","T2",0,""
"Deyeuxia decipiens","T17",0,""
"Deyeuxia decipiens","T20",0,""
"Deyeuxia decipiens","T10",0,""
"Deyeuxia decipiens","T23",0,""
"Deyeuxia decipiens","T41",0,""
"Deyeuxia decipiens","T8",0,""
"Deyeuxia decipiens","T42",0,""
"Deyeuxia decipiens","T43",0,""
"Deyeuxia decipiens","T46",0,""
"Deyeuxia decipiens","T18",10,""
"Deyeuxia decipiens","T31",0,""
